Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
38582,42900,416,258,13150,5062,75,1018,1019.23,14.66,22,85.18,34.15,78,0,411.75,292.15,997,137,MALICIOUS
9898,67090,169,416,9366,13682,366,230,954.08,285.39,31,65.71,37.81,19,37,990.95,173.81,664,138,BENIGN
42167,58093,57,79,2536,3670,4,1281,996.49,37.64,37,54.37,45.14,69,21,839.37,215.22,250,450,MALICIOUS
13593,7854,254,27,4312,6186,1090,176,933.71,178.4,28,39.16,28.77,21,5,248.44,469.79,822,54,BENIGN
40233,24992,491,359,5311,6436,875,1285,52.55,57.02,31,64.17,16.46,43,9,824.5,258.8,165,10,BENIGN
9356,50553,438,483,10378,13385,752,1292,1247.77,388.58,20,39.73,43.94,69,47,129.2,330.29,856,244,MALICIOUS
31487,5076,54,151,5662,8839,623,357,1277.89,240.49,30,28.4,24.24,81,5,579.63,415.78,202,321,BENIGN
51390,90497,418,438,5418,4949,605,1241,358.38,149.07,27,22.21,17.81,97,18,460.62,448.34,544,436,BENIGN
3812,54114,468,100,8783,13292,470,225,303.39,75.11,23,41.02,4.44,33,11,287.11,214.66,818,456,BENIGN
37791,29264,43,251,11750,64,1412,532,7.44,413.12,36,43.14,18.23,11,19,330.25,258.08,705,233,MALICIOUS
63642,47881,37,437,8404,10735,148,953,757.19,52.67,36,11.4,43.0,15,45,219.74,394.45,469,220,BENIGN
31124,61773,400,483,14964,11311,249,466,34.17,30.06,23,58.45,12.53,13,49,347.94,359.08,499,406,BENIGN
24834,97626,237,5,5519,6019,937,261,1414.81,90.24,23,53.35,6.83,10,16,673.72,95.59,793,124,BENIGN
15187,25500,16,394,11842,6630,1056,1470,32.41,81.11,36,29.49,35.08,83,5,810.13,60.13,18,442,BENIGN
48076,96943,402,278,7211,7809,961,417,27.72,189.24,36,88.29,31.57,35,12,68.65,279.14,437,472,BENIGN
50290,55438,465,456,9245,11536,139,111,2.89,72.34,21,15.18,27.97,63,4,657.03,100.36,719,433,BENIGN
43507,34550,124,207,4769,13846,270,1157,426.19,282.7,28,54.52,30.04,34,0,384.34,219.28,546,348,BENIGN
46067,6636,272,56,6725,0,1004,233,867.26,233.98,34,65.73,0.62,83,25,823.75,65.29,133,255,MALICIOUS
65333,48778,289,24,13585,33,1465,331,270.79,410.66,31,81.95,20.44,96,20,457.54,173.18,952,320,MALICIOUS
43073,30147,446,471,3938,13342,568,92,1493.5,254.4,32,35.27,13.81,79,12,998.65,293.8,487,2,BENIGN
57355,9552,154,309,10966,9546,849,1454,1017.98,237.36,32,60.04,44.67,98,5,755.02,425.21,540,192,BENIGN
25521,41891,242,77,4209,996,506,1463,357.85,171.86,20,21.16,49.56,17,48,144.26,296.24,306,412,BENIGN
56348,88630,427,345,10354,10422,1416,465,210.21,89.35,22,46.01,9.47,63,18,681.75,175.54,322,461,BENIGN
49102,20854,231,311,7228,12253,1198,1402,725.17,177.78,30,44.01,3.41,21,3,779.99,407.3,261,218,MALICIOUS
51046,5628,250,361,11769,4802,1350,438,1386.55,464.35,37,39.25,16.55,89,5,966.61,498.69,311,392,MALICIOUS
50946,46641,325,373,1199,7367,399,858,888.77,240.0,20,73.67,27.3,42,9,651.45,332.99,635,385,BENIGN
61162,31950,483,455,604,348,26,1250,249.56,197.02,32,44.99,29.11,41,36,150.93,228.56,381,248,BENIGN
49934,47727,100,420,8044,3746,877,596,630.22,140.99,27,44.65,9.24,75,36,44.36,141.5,301,250,BENIGN
59829,85479,392,311,5884,4680,342,1308,667.28,60.66,38,4.61,4.52,16,22,212.86,216.22,727,489,BENIGN
31443,96462,136,308,2469,5544,1197,1272,911.24,15.26,33,96.28,5.93,64,49,110.74,280.76,723,367,BENIGN
51841,73148,451,106,936,1474,1244,761,642.53,78.4,25,84.42,27.75,25,48,793.27,438.07,633,148,BENIGN
5165,38915,482,101,2947,7498,837,1079,1443.94,193.11,36,54.18,38.61,56,34,342.34,48.58,884,324,BENIGN
51458,90488,244,447,1827,9383,1303,985,695.03,28.22,24,34.91,47.26,56,22,356.75,445.57,746,246,BENIGN
33082,46268,219,34,1429,7960,57,1357,587.23,240.09,26,48.35,31.6,48,20,959.82,462.97,434,177,BENIGN
61375,75130,469,446,8952,4328,842,132,610.25,394.05,26,24.52,44.03,59,10,722.5,35.37,355,76,BENIGN
60393,73568,101,40,5171,6771,497,1286,552.58,119.77,38,31.11,44.61,50,22,820.41,221.22,661,228,MALICIOUS
54110,95356,66,244,10429,11476,866,828,877.03,291.86,31,33.76,2.73,60,1,869.63,185.95,420,49,BENIGN
35552,24211,136,118,6989,3654,1401,908,1225.98,412.44,33,94.53,20.48,73,22,154.72,447.75,133,378,BENIGN
55096,49998,362,106,7740,3932,1084,169,133.18,102.13,31,41.38,38.11,71,21,569.06,249.66,117,494,BENIGN
14168,75162,332,207,3900,1299,901,174,75.3,395.55,35,61.52,23.79,3,15,57.53,120.45,646,132,BENIGN
51203,2928,367,316,7133,3640,1055,489,1315.75,216.09,23,82.04,3.03,17,15,461.94,392.18,2,116,BENIGN
50043,74260,31,374,14093,7967,627,1365,225.57,95.9,34,89.07,44.13,33,45,927.13,321.43,313,423,BENIGN
12839,64819,160,61,6917,11295,412,1280,827.71,343.86,38,89.85,24.92,67,1,341.91,438.84,45,204,BENIGN
22977,15207,205,343,6442,2977,109,508,382.19,263.32,28,69.87,43.23,68,0,914.47,249.3,757,136,MALICIOUS
31073,72833,424,84,12311,7357,1086,1250,1422.29,376.66,25,43.97,2.19,91,11,935.64,310.4,123,183,BENIGN
65169,5450,169,47,9710,4128,112,1265,2.76,323.56,35,60.47,44.27,73,27,55.62,42.9,690,436,BENIGN
58138,80879,335,468,8652,6083,448,1044,932.77,459.34,36,5.54,32.01,39,37,460.47,118.76,299,454,BENIGN
47137,73168,184,298,5243,11791,972,558,1195.45,481.64,33,55.9,28.21,56,48,441.77,184.87,392,136,BENIGN
23178,59135,296,349,11295,9174,331,52,669.49,249.51,33,89.9,3.44,51,30,498.77,19.36,847,341,MALICIOUS
49719,46346,59,81,4094,4459,757,669,1190.73,156.1,39,54.52,47.88,79,25,531.92,123.84,67,133,BENIGN
60470,6994,288,385,9712,14564,1140,517,322.66,308.91,30,5.38,9.18,14,25,893.96,236.77,407,415,BENIGN
57210,85663,475,407,3644,2651,1481,753,786.95,31.58,36,19.97,47.73,40,25,261.91,267.14,280,485,BENIGN
50802,78831,453,407,11089,5464,364,964,676.23,378.83,33,43.87,48.3,20,10,926.97,249.84,763,238,BENIGN
55879,96161,154,13,2379,5066,648,848,1349.25,410.98,37,7.48,31.54,33,42,574.29,272.1,952,322,BENIGN
3492,64496,84,60,7050,8222,50,262,1491.5,196.68,30,84.73,47.24,43,49,123.26,127.81,951,14,BENIGN
42798,53789,139,379,13609,4441,1328,465,997.04,140.0,22,91.77,7.86,91,25,810.05,37.57,271,96,MALICIOUS
1630,68425,432,13,1109,6363,859,373,86.36,451.7,20,7.73,35.63,1,30,870.17,352.03,955,268,BENIGN
7828,32848,497,446,13561,6890,211,1469,530.12,275.37,39,8.83,18.55,41,14,427.83,413.17,107,264,BENIGN
28189,67180,484,161,6104,10973,394,598,595.35,314.24,38,59.7,34.58,28,5,363.58,303.25,539,285,BENIGN
38243,30811,233,393,3977,11966,1135,473,1353.87,275.89,33,37.7,12.76,72,15,771.38,56.41,181,321,MALICIOUS
21863,50186,80,323,2022,14589,985,1300,222.34,364.54,27,21.03,8.24,42,42,783.97,53.11,49,455,MALICIOUS
45503,67423,127,360,3428,5472,1204,832,1302.97,415.64,22,37.79,8.18,24,2,207.99,449.48,877,40,BENIGN
17374,2883,334,331,3040,14931,213,1113,304.29,110.12,20,99.45,11.41,54,23,396.89,285.22,413,30,MALICIOUS
28257,81966,103,414,787,6607,500,595,909.35,82.06,37,20.08,29.57,10,18,973.01,287.47,408,426,BENIGN
4435,89496,78,10,14957,5089,987,1217,1341.63,456.46,30,42.09,3.21,77,36,495.62,246.73,844,131,BENIGN
34463,26247,427,239,6482,12021,266,1381,435.86,267.33,38,38.62,35.97,21,38,565.26,203.23,648,294,BENIGN
19477,89802,489,430,3583,3107,1052,404,425.02,146.29,26,57.21,26.79,13,27,662.17,400.69,68,51,MALICIOUS
60162,31008,313,359,498,4268,116,1245,37.06,250.57,21,97.31,49.12,91,38,329.95,44.19,460,291,BENIGN
8475,53405,330,6,5370,3654,1056,1227,194.05,25.77,39,90.68,44.42,46,40,578.58,39.97,240,21,BENIGN
4681,16382,360,371,11473,9773,566,619,519.17,415.22,35,40.71,49.67,75,32,763.88,93.74,685,317,MALICIOUS
58623,73977,70,379,10438,13806,322,1021,1071.22,220.03,27,18.68,18.24,92,36,416.59,63.67,218,308,BENIGN
3126,49739,35,323,1514,3625,102,102,594.13,8.84,36,3.82,3.53,60,41,643.43,281.0,765,328,BENIGN
46446,1232,168,101,5564,1419,569,340,262.94,177.17,35,48.57,7.89,98,13,315.18,35.47,402,216,BENIGN
61517,31323,355,24,9565,14603,1112,540,933.91,343.13,37,23.72,18.11,82,49,235.48,151.97,371,313,BENIGN
27656,84258,418,434,8733,9934,430,1148,1345.48,348.05,31,18.35,40.52,93,31,889.78,362.63,262,83,MALICIOUS
50494,50778,17,247,8714,47,796,195,127.58,136.38,36,81.66,2.04,72,27,534.61,102.9,294,35,BENIGN
3740,44059,263,266,6771,6215,1287,1151,492.37,98.76,23,29.89,21.55,14,20,819.91,495.94,994,65,MALICIOUS
46046,68975,324,170,3606,14422,165,1120,1022.87,388.11,21,14.56,11.84,94,39,545.08,303.18,391,431,BENIGN
11522,54413,130,435,10819,4437,90,110,280.74,245.21,26,47.8,26.09,89,27,518.17,159.11,379,232,BENIGN
1920,23406,102,465,3758,194,258,952,806.2,121.31,39,71.4,0.59,37,13,607.28,6.27,189,346,BENIGN
46372,14169,498,392,4367,11421,403,134,1378.57,451.46,20,1.96,23.27,34,5,737.34,231.44,892,455,BENIGN
46177,93281,45,476,8141,4906,270,418,325.23,22.3,27,62.11,43.19,14,45,679.09,360.21,818,19,BENIGN
34955,97686,126,474,5355,9370,1228,1099,156.26,84.34,29,47.12,9.52,60,41,731.75,156.61,542,124,BENIGN
56256,75560,67,203,1789,10678,1325,488,757.29,79.29,33,11.31,5.18,46,31,912.71,299.93,430,451,BENIGN
46474,81441,342,462,11831,13978,140,438,502.83,496.74,34,92.57,43.96,98,49,74.79,196.55,196,304,BENIGN
39314,68268,228,112,11437,67,1388,523,233.13,487.23,28,49.07,33.62,26,5,102.7,405.22,953,64,BENIGN
2821,56067,225,277,5298,3014,723,707,61.63,65.91,32,75.33,45.2,8,0,367.68,325.26,443,377,BENIGN
15613,14197,329,6,13830,9800,967,978,1299.04,133.05,24,86.33,47.69,31,0,425.99,381.53,348,496,BENIGN
34277,78100,183,184,8891,3083,380,1381,225.09,242.07,26,6.26,38.06,37,19,662.73,43.31,487,444,MALICIOUS
19391,29065,213,410,13007,3969,175,84,923.79,474.85,38,79.58,13.48,39,4,678.58,70.95,715,349,BENIGN
18391,59396,456,428,4058,5133,969,577,217.09,237.29,34,90.87,44.96,61,26,44.68,75.46,157,121,MALICIOUS
11196,6521,390,26,14006,11838,865,386,638.72,319.95,37,78.91,9.7,43,5,495.02,213.29,899,496,BENIGN
9333,47825,491,263,1792,11606,1409,375,408.2,254.51,20,23.0,45.14,93,9,86.03,458.87,323,462,BENIGN
48090,91731,252,342,8905,4821,264,702,1262.4,91.55,32,85.62,4.45,41,18,791.96,210.09,857,147,BENIGN
40047,50674,18,207,3818,14269,900,401,791.35,384.03,32,20.87,46.72,55,19,257.27,216.99,341,292,BENIGN
48050,47738,231,279,3143,13559,917,93,477.82,437.43,32,25.86,9.12,81,10,776.78,260.67,404,33,BENIGN
5525,82320,421,193,10795,6722,1337,136,1373.75,345.24,26,61.38,28.27,73,47,261.47,195.11,244,456,BENIGN
64043,53420,196,312,13876,14843,511,63,963.18,177.47,24,53.99,37.7,81,46,389.68,453.02,207,65,BENIGN
54108,28355,346,422,8928,13395,1067,672,194.82,41.13,30,26.7,49.63,40,12,83.68,440.63,237,148,BENIGN
27429,78016,7,122,1667,14843,587,533,861.14,52.45,30,87.72,24.51,0,16,458.93,148.34,660,447,BENIGN
7567,35462,52,157,6205,1658,1462,1039,488.41,356.0,28,33.94,17.06,9,45,536.37,196.18,893,440,BENIGN
32406,81393,25,129,3029,666,26,821,793.6,493.67,35,37.71,42.97,83,41,61.06,313.64,282,32,BENIGN
64402,12210,49,407,12560,13313,940,1348,1143.04,95.84,24,57.65,13.91,30,3,736.41,300.98,785,143,BENIGN
44864,28866,23,400,1717,12229,848,902,302.91,225.61,20,48.54,43.32,27,6,888.08,473.68,737,115,BENIGN
25868,41837,22,183,4065,4128,142,1480,40.41,252.44,35,96.34,15.28,9,27,760.55,118.15,339,301,BENIGN
40943,91044,464,173,14790,12480,506,541,1238.82,324.53,20,2.4,45.08,19,14,228.57,469.78,842,77,MALICIOUS
4017,53421,73,27,12517,5732,185,130,365.71,114.13,29,73.79,21.14,33,26,376.63,91.84,36,476,BENIGN
43141,90202,16,363,11025,914,1329,521,844.43,418.72,32,45.25,46.85,83,35,869.25,413.46,339,86,BENIGN
55491,89495,244,277,8853,6729,1339,1060,138.61,450.38,28,75.26,2.95,13,26,355.26,446.28,860,178,BENIGN
9587,98610,251,59,12498,7908,110,1010,784.0,201.16,34,4.97,31.76,8,13,666.51,228.56,636,212,MALICIOUS
38271,17522,426,280,3766,14653,942,828,842.54,318.54,34,31.22,18.19,88,44,388.46,370.76,400,14,BENIGN
40465,98238,391,177,2604,549,1434,877,538.46,327.84,37,18.56,18.69,47,30,722.24,120.94,522,212,BENIGN
12222,94002,145,223,3627,12763,1346,652,1227.22,435.86,35,7.41,20.79,15,44,181.83,153.83,544,337,BENIGN
56383,16036,136,160,10605,8083,1047,725,265.37,149.38,39,28.45,45.55,76,13,682.11,218.12,854,213,BENIGN
24472,90908,427,331,5302,6445,35,1404,908.15,439.46,33,41.31,7.65,31,17,462.5,5.35,157,33,BENIGN
